URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://p26-buy.itunes.apple.com,EXCEPTION,200,https,CONNECT,,/192.168.50.138,53013,p26-buy.itunes.apple.com/17.154.67.28,443,com.xk72.proxy.ProxyException: Client SSL handshake failed - Remote host closed connection during handshake,12 Oct 2018 05:02:31,,,,,1,84,182,,,,,,,1122,0,,22399,0,,,
https://graph.facebook.com/v3.0,COMPLETE,200,https,POST,application/json; charset=UTF-8,/192.168.50.138,53011,graph.facebook.com/31.13.65.1,443,,12 Oct 2018 05:02:32,12 Oct 2018 05:02:32,12 Oct 2018 05:02:32,12 Oct 2018 05:02:32,119,19,15,40,3,1,41,155.79004,698.8926,16442.383,1110,67,970,16047,307,483,,72.8%
https://settings.crashlytics.com,EXCEPTION,200,https,CONNECT,,/192.168.50.138,53015,settings.crashlytics.com/107.22.220.210,443,com.xk72.proxy.ProxyException: Client SSL handshake failed - Remote host closed connection during handshake,12 Oct 2018 05:02:32,,,,,19,27,64,,,,,,,1134,0,,29140,0,,,
https://www.indeed.com/m/rpc/mobileapp/pgroups?hl=en&co=US,COMPLETE,200,https,GET,application/json;charset=UTF-8,/192.168.50.138,53014,www.indeed.com/166.78.192.64,443,,12 Oct 2018 05:02:33,12 Oct 2018 05:02:33,12 Oct 2018 05:02:33,12 Oct 2018 05:02:33,187,34,36,72,1,2,42,118.99902,1232.4219,10510.254,1094,168,,19904,1184,437,,51.6%
https://t.appsflyer.com/api/v4.9/iosevent?app_id=309735670&buildnumber=4.8.6,COMPLETE,200,https,POST,application/json,/192.168.50.138,53016,t.appsflyer.com/54.171.20.166,443,,12 Oct 2018 05:02:33,12 Oct 2018 05:02:35,12 Oct 2018 05:02:35,12 Oct 2018 05:02:35,757,35,134,263,48,1,276,32.13672,188.04883,15301.758,1098,313,7832,15665,0,4,,
https://play.googleapis.com/log,COMPLETE,200,https,POST,text/plain; charset=UTF-8,/192.168.50.138,53010,play.googleapis.com/172.217.197.95,443,,12 Oct 2018 05:02:34,12 Oct 2018 05:02:34,12 Oct 2018 05:02:34,12 Oct 2018 05:02:34,100,2,31,28,1,4,34,17.58789,1136.7188,155.51758,777,110,277,372,163,102,-2.2%,-20.0%
https://www.gstatic.com/identity/sdk/config/ios/v4.1.2?clientID=1047839414793-auqrc0ig1smrb2nsbcf2qa0bgiia748u.apps.googleusercontent.com&bundleID=com.indeed.JobSearch,COMPLETE,200,https,GET,text/html,/192.168.50.138,53012,www.gstatic.com/172.217.197.94,443,,12 Oct 2018 05:02:35,12 Oct 2018 05:02:35,12 Oct 2018 05:02:35,12 Oct 2018 05:02:35,158,15,31,68,2,14,28,116.47656,619.6289,1226.0039,1098,171,,16991,214,371,,
https://events.appsflyer.com/api/v4.9/iosevent?app_id=309735670&buildnumber=4.8.6,COMPLETE,200,https,POST,application/json,/192.168.50.138,53020,events.appsflyer.com/52.48.186.31,443,,12 Oct 2018 05:02:35,12 Oct 2018 05:02:37,12 Oct 2018 05:02:37,12 Oct 2018 05:02:37,1585,1031,127,284,1,0,142,11.332031,2660.1562,0.0,1118,318,1288,15665,0,4,,
https://settings.crashlytics.com,EXCEPTION,200,https,CONNECT,,/192.168.50.138,53022,settings.crashlytics.com/23.21.176.29,443,com.xk72.proxy.ProxyException: Client SSL handshake failed - Remote host closed connection during handshake,12 Oct 2018 05:02:35,,,,,4,34,78,,,,,,,1134,0,,29140,0,,,
https://graph.facebook.com/v3.0/115882278440564/activities,COMPLETE,200,https,POST,application/json; charset=UTF-8,/192.168.50.138,53017,graph.facebook.com/31.13.65.1,443,,12 Oct 2018 05:02:35,12 Oct 2018 05:02:35,12 Oct 2018 05:02:35,12 Oct 2018 05:02:35,248,2,21,51,2,8,164,71.61133,871.58203,2002.0752,1110,86,589,16047,338,16,,
https://iadsdk.apple.com/adserver/2.1/config,COMPLETE,200,https,POST,application/octet-stream,/192.168.50.138,53023,iadsdk.apple.com/23.55.228.158,443,,12 Oct 2018 05:02:35,12 Oct 2018 05:02:36,12 Oct 2018 05:02:36,12 Oct 2018 05:02:36,148,32,18,43,0,1,54,154.90332,0.0,21440.43,1090,423,8,18469,0,3486,,
https://graph.facebook.com/v3.0/115882278440564/activities,COMPLETE,200,https,POST,application/json; charset=UTF-8,/192.168.50.138,53018,graph.facebook.com/31.13.65.1,443,,12 Oct 2018 05:02:35,12 Oct 2018 05:02:35,12 Oct 2018 05:02:35,12 Oct 2018 05:02:35,140,2,19,51,1,3,64,128.28516,1945.3125,5338.216,1110,86,796,16043,340,16,,
"https://www.indeed.com/m/?app=10.5,iPhone",COMPLETE,200,https,GET,text/html;charset=UTF-8,/192.168.50.138,53021,www.indeed.com/166.78.192.64,443,,12 Oct 2018 05:02:35,12 Oct 2018 05:02:35,12 Oct 2018 05:02:35,12 Oct 2018 05:02:35,245,4,39,79,2,74,47,184.12695,643.5547,592.21875,1094,224,,19904,1226,23746,,78.0%
https://sdk.appsflyer.com/install_data/v3/id309735670?devkey=ExLocXqS6j9TGyNebHQHrG&device_id=1539318891000-6303998,COMPLETE,200,https,GET,application/json; charset=utf-8,/192.168.50.138,53024,sdk.appsflyer.com/52.16.116.96,443,,12 Oct 2018 05:02:35,12 Oct 2018 05:02:36,12 Oct 2018 05:02:41,12 Oct 2018 05:02:41,5555,27,123,259,0,1,5145,3.008789,0.0,15353.516,1106,289,,15665,0,57,,
https://www.indeed.com/m/s/93d5b2b/mobile-hp-compiled.js,COMPLETE,200,https,GET,application/javascript,/192.168.50.138,53021,www.indeed.com/166.78.192.64,443,,12 Oct 2018 05:02:36,12 Oct 2018 05:02:36,12 Oct 2018 05:02:36,12 Oct 2018 05:02:36,163,,,,0,125,38,324.75195,0.0,421.6875,,229,,,178,53798,,59.5%
https://www.indeed.com/m/s/d7c0187/en_US.min.js,COMPLETE,200,https,GET,application/javascript,/192.168.50.138,53021,www.indeed.com/166.78.192.64,443,,12 Oct 2018 05:02:36,12 Oct 2018 05:02:36,12 Oct 2018 05:02:36,12 Oct 2018 05:02:36,163,,,,0,2,161,22.017578,0.0,1779.7852,,30,,,178,3467,,62.8%
https://www.indeed.com/m/_iphone/styles/appSignInModal.css,COMPLETE,200,https,GET,text/css,/192.168.50.138,53021,www.indeed.com/166.78.192.64,443,,12 Oct 2018 05:02:36,12 Oct 2018 05:02:36,12 Oct 2018 05:02:36,12 Oct 2018 05:02:36,163,,,,1,1,161,7.2851562,50.78125,1136.7188,,52,,,818,346,,49.3%
