URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://suggestqueries.google.com/complete/search?gl=US&gs_pcr=t&pq_sec=&q=&hjson=t&oe=UTF-8&client=youtube-ios&video_id=&xssi=t&hl=en&pq=&ds=yt,COMPLETE,200,https,GET,application/json; charset=UTF-8,/192.168.50.138,61075,suggestqueries.google.com/64.233.185.113,443,,28 Sep 2018 04:41:14,28 Sep 2018 04:41:14,28 Sep 2018 04:41:14,28 Sep 2018 04:41:14,51,,,,1,1,49,50.7041,258.78906,2327.1484,,265,,,40,2343,,73.0%
https://suggestqueries.google.com/complete/search?video_id=&xssi=t&pq=&client=youtube-ios&pq_sec=&q=&hl=en&hjson=t&gl=US&oe=UTF-8&ds=yt,COMPLETE,200,https,GET,application/json; charset=UTF-8,/192.168.50.138,61075,suggestqueries.google.com/64.233.185.113,443,,28 Sep 2018 04:41:14,28 Sep 2018 04:41:14,28 Sep 2018 04:41:14,28 Sep 2018 04:41:14,52,,,,1,1,50,49.61621,252.92969,2327.1484,,259,,,40,2343,,73.0%
https://youtubei.googleapis.com/youtubei/v1/notification_registration/get_settings?key=AIzaSyB-63vPrdThhKuerbB2N_l7Kwwcxj6yUAc,COMPLETE,200,https,POST,application/x-protobuf,/192.168.50.138,61074,youtubei.googleapis.com/172.217.3.234,443,,28 Sep 2018 04:41:14,28 Sep 2018 04:41:14,28 Sep 2018 04:41:14,28 Sep 2018 04:41:14,67,,,,1,0,66,27.314453,1109.375,0.0,,433,703,,42,696,,59.7%
https://youtubei.googleapis.com/youtubei/v1/guide?key=AIzaSyB-63vPrdThhKuerbB2N_l7Kwwcxj6yUAc,COMPLETE,200,https,POST,application/x-protobuf,/192.168.50.138,61074,youtubei.googleapis.com/172.217.3.234,443,,28 Sep 2018 04:41:14,28 Sep 2018 04:41:14,28 Sep 2018 04:41:14,28 Sep 2018 04:41:14,157,,,,4,1,152,19.754883,260.2539,2060.5469,,359,707,,46,2064,,70.4%
https://youtubei.googleapis.com/youtubei/v1/browse?key=AIzaSyB-63vPrdThhKuerbB2N_l7Kwwcxj6yUAc,COMPLETE,200,https,POST,application/x-protobuf,/192.168.50.138,61074,youtubei.googleapis.com/172.217.3.234,443,,28 Sep 2018 04:41:14,28 Sep 2018 04:41:14,28 Sep 2018 04:41:16,28 Sep 2018 04:41:16,1819,,,,0,5,1814,19.451172,0.0,6862.1094,,363,735,,47,35087,,76.0%
https://youtubei.googleapis.com/youtubei/v1/notification_registration/set_registration?key=AIzaSyB-63vPrdThhKuerbB2N_l7Kwwcxj6yUAc,COMPLETE,200,https,POST,application/x-protobuf,/192.168.50.138,61074,youtubei.googleapis.com/172.217.3.234,443,,28 Sep 2018 04:41:15,28 Sep 2018 04:41:15,28 Sep 2018 04:41:15,28 Sep 2018 04:41:15,175,,,,0,1,174,11.383789,0.0,639.64844,,357,1028,,42,613,,62.3%
https://yt3.ggpht.com/-OtOnDQmb_5Y/AAAAAAAAAAI/AAAAAAAAAAA/wDOG0Xqesm8/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,COMPLETE,304,https,GET,,/192.168.50.138,61080,yt3.ggpht.com/108.177.122.132,443,,28 Sep 2018 04:41:15,28 Sep 2018 04:41:15,28 Sep 2018 04:41:15,28 Sep 2018 04:41:15,19,,,,0,2,17,2.3125,0.0,17.578125,,9,,,36,,,
https://youtubei.googleapis.com/youtubei/v1/browse?key=AIzaSyB-63vPrdThhKuerbB2N_l7Kwwcxj6yUAc,COMPLETE,200,https,POST,application/x-protobuf,/192.168.50.138,61074,youtubei.googleapis.com/172.217.3.234,443,,28 Sep 2018 04:41:16,28 Sep 2018 04:41:16,28 Sep 2018 04:41:16,28 Sep 2018 04:41:16,88,,,,4,1,83,24.569336,266.11328,1097.6562,,359,731,,46,1078,,53.0%
https://securepubads.g.doubleclick.net/pcs/view?xai=AKAOjsv4ZNG-2dkPScoT_DSzCJ2uyZD7y555NgQqMNLxfFrbLwYjMRRfsVGWAlFhG25Q42RWy3x_IVIBxO4C4xjw6Xv_mWo_G-532gK6ZLLHqbtsMcN6wwqtc6ezfW6lV0ItCgnQ1vHoHz_bGa455fGHTTr0SD1rudFgPk8XHOUwRV4m_G3nBBRJAGQhyt8Qw1VfvImnC3ipyh5IFjdWTb-fnzjcl6d1&sai=AMfl-YRsOjY86kDxh4S4dxVGQa25abqxJ_SNYcYRQHhK1OjXG5nodEPfgHPidKlXtcUFsFpF89fe1Sl1LwPhZ4hSzadJovxm-ffuO6xrJlck_lku5BffxIyIKJT7n7jd5CHgdFWOvG2YOdnM6asFJCYnloVtQn-Au-6m&sig=Cg0ArKJSzF71vCgTILtSEAE&urlfix=1&adurl=,COMPLETE,200,https,GET,image/gif,/192.168.50.138,61081,securepubads.g.doubleclick.net/64.233.185.156,443,,28 Sep 2018 04:41:16,28 Sep 2018 04:41:16,28 Sep 2018 04:41:16,28 Sep 2018 04:41:16,20,,,,0,4,16,25.24414,0.0,35.64453,,371,,,146,0,,
https://i.ytimg.com/vi/x5_fFGTsjDA/sddefault.jpg?v=5b6845f4,COMPLETE,200,https,GET,image/jpeg,/192.168.50.138,61082,i.ytimg.com/173.194.219.119,443,,28 Sep 2018 04:41:18,28 Sep 2018 04:41:18,28 Sep 2018 04:41:18,28 Sep 2018 04:41:18,41,,,,1,8,32,768.5303,122.07031,3923.462,,125,,,95,32046,,
